PL,,Mean:,-0.139,,,,
0.617852,,,,,,,
6.307578,,,,,,,
-0.233329,,,,,,,
0.35583,,,,,,,
1.799702,,,,,,,
0.130453,,,,,,,
3.380087,,,,,,,
6.210301,,,,,,,
1.69364,,,,,,,
1.65015,,,,,,,
-8.596634,,,,,,,
8.334651,,,,,,,
-0.385512,,,,,,,
-4.433308,,,,,,,
-4.298978,,,,,,,
0.917975,,,,,,,
-5.113299,,,,,,,
2.062535,,,,,,,
2.002336,,,,,,,
3.455466,,,,,,,
-0.598819,,,,,,,
3.792288,,,,,,,
-10.20795,,,,,,,
-0.556504,,,,,,,
-6.143654,,,,,,,
-1.159097,,,,,,,
-0.10752,,,,,,,
3.489516,,,,,,,
-1.262627,,,,,,,
0.440337,,,,,,,
-1.189067,,,,,,,
-12.055423,,,,,,,
-2.157719,,,,,,,
3.229759,,,,,,,
-1.679792,,,,,,,
-0.400588,,,,,,,
-3.804809,,,,,,,
-4.880155,,,,,,,
1.598085,,,,,,,
0.579722,,,,,,,
1.016395,,,,,,,
3.877267,,,,,,,
3.66238,,,,,,,
2.536803,,,,,,,
-4.612691,,,,,,,
4.470685,,,,,,,
160,,,,,,,
